atr_14,atr_pct,bb_width,atr_ratio_5_14,rsi_14,rsi_3,macd_hist,adx,ema50_dist,ema_spread,ret_1,ret_3,ret_5,ret_13,vol_ratio,compression_depth,pre_move_ratio,session_minutes,is_pm,body_pct,range_pct,upper_wick_ratio,bb_pos,stoch_k,time_to_session_end,trend_strength_10,trend_consistency,atr_acceleration,bars_since_last_compression,daily_trade_idx,session_return,high_low_ratio_5,close_vs_range,label,pnl,mfe,direction,session,exit_reason,date,time,bars_held,entry_price
4.051415986279872,0.0021718751936742105,0.012072361145356742,0.8967895720080892,35.85787691654592,36.58918100601129,0.0005992308095989952,42.87519925273985,-0.015678285895681193,0.014409619983459323,-0.0010710078183570739,0.0018259935553169124,-0.0028331640562356095,-0.0056503198294242584,0.8380040723794798,0.5183372941982662,-0.8145300337402128,20,1,-0.0011257639112254255,0.0028948214860084116,0.0,-0.4247559749373934,24.489795918367605,70,-0.205988587045031,0.6666666666666666,-0.10321042799191085,0,5,-0.5430200224934003,0.1222222222222269,0.6111111111111345,1,5.288584013720347,10.300000000000182,SELL,PM,BE,2025-12-15,2025-12-15 13:20:00,5,1865.4
4.963193281508269,0.0026190993569964478,0.021969320436102172,0.8979385939023491,51.38004223377306,11.740844333337828,-0.0008349629815735399,24.20448933557985,0.0021289581599139734,-0.005605168054076583,-0.0026840692595126096,-0.005249343832020997,-0.005771248688352571,-0.002631578947368421,0.8060919712035888,0.040296637397781804,0.987267616245448,15,1,-0.0005277044854881266,0.0005277044854881266,0.0,-0.2058657579281618,53.846153846153605,75,-0.3903889386687314,0.6666666666666666,-0.10206140609765088,0,5,-0.2014831869888632,0.4,0.0,1,0.040000000000000036,5.0,SELL,PM,BE,2025-12-17,2025-12-17 13:15:00,2,1895.0
3.9962254133137565,0.002111500271221471,0.01591990541888401,0.6547564091337079,51.677669579911246,77.75957049351476,-0.00034636174072265406,20.075065345960006,0.001137931607605425,-2.158897489803785e-05,5.2840158520427507e-05,0.0013756613756613276,0.005632306057385712,0.0013756613756613276,0.1552975842029815,0.40037781519265064,-1.0009445379816835,20,1,0.0,0.0,0.0,-0.06965929893131065,64.5577667219459,70,0.17091886277356255,0.6666666666666666,-0.3452435908662921,0,5,1.0259681514312027,0.6,0.5,1,0.040000000000000036,3.599999999999909,SELL,PM,BE,2025-12-18,2025-12-18 13:20:00,2,1892.6
4.341458399746966,0.0022872653705004824,0.01338431194639625,1.0017243240358817,54.62732270216017,47.4944144529259,0.0005536354201933429,16.99809523057127,0.003281953827769014,-0.0025820775971066552,-0.003517429651406996,0.0029060551622107156,0.0029060551622107156,0.004232580286757315,0.2079958049657582,0.0,2.810115605555751,65,1,0.0,0.0,0.0,0.46790857050908685,90.76305220883494,25,0.34089927018217764,0.5555555555555556,0.0017243240358816862,0,5,2.211238509289742,0.2,0.5,1,1.2985416002532384,6.600000000000136,BUY,PM,TRAIL,2025-12-18,2025-12-18 14:05:00,2,1898.1
4.354613554488659,0.002264607392214186,0.018474309056229127,0.8284921196292018,61.4677857003006,59.675623451830305,5.2165258625285284e-05,16.14441638548815,0.009438298807172533,-0.008305358501968048,0.00046826222684708164,-0.0010909090909090437,0.0007285974499089727,0.00934334155687375,0.29108294019012276,0.0,-0.6889245078722663,20,1,0.0,0.0,0.0,0.4911802532715636,87.21983746524624,70,0.07042339413804213,0.6666666666666666,-0.17150788037079825,0,5,0.0,0.0,0.5,1,0.54,7.099999999999909,BUY,PM,SESSION,2025-12-19,2025-12-19 13:20:00,6,1922.9
3.4018222141197767,0.001763515922301595,0.012587819495440194,0.6241313186768352,66.48561033616829,91.04443525607789,-2.999889195306101e-05,18.736559830757518,0.01058271199082408,-0.008413569820334003,0.001557632398753894,0.002077922077922078,0.003172291850850231,0.0046875,0.2897927968192659,0.0,0.2939601005159379,75,1,0.0002592016588906169,0.0002592016588906169,0.0,0.7327132223542238,99.99999999999999,15,0.253696474627078,0.7777777777777778,-0.37586868132316475,0,5,1.7931566131471945,0.2,1.0,0,-5.559999999999909,1.0,BUY,PM,SESSION,2025-12-19,2025-12-19 14:15:00,1,1929.0
3.815844282501722,0.0019656128792570554,0.01704939720069385,0.8408009431746859,65.28291174140818,63.896267324247745,0.00019782650709117803,26.180850718614792,0.01196856814849245,-0.010405959808409155,5.15145270965944e-05,-0.0011319783895034966,0.005021743632222016,0.008467532467532443,0.5047102304799895,0.2620652012939023,-0.8648151642698657,90,0,0.0,0.0,0.0,0.6697030095917247,83.86704505037245,60,0.40119799907175085,0.5555555555555556,-0.15919905682531407,0,5,0.3406847616820611,0.0,0.5,1,20.740000000000045,22.700000000000045,BUY,AM,SESSION,2025-12-22,2025-12-22 10:30:00,5,1941.3
3.580489470457426,0.0018037730329760332,0.014828380042885317,0.9345524829794752,57.877716249176245,14.322649178908359,-0.0011883364701802896,47.77033032761934,0.011814761916501298,-0.014538222883898897,-0.0025626852921963265,-0.005062402887073284,-0.0030135610246107484,0.0019180294770845723,0.8460293204063979,0.027929142321248303,-1.4243862583817584,90,0,-0.0010579345088160752,0.0010579345088160752,0.0,-0.14287872678022387,50.75758654233954,60,-0.19516546119002126,0.5555555555555556,-0.06544751702052475,0,5,-1.5081736853453762,0.2,0.0,1,4.54,5.5,BUY,AM,SESSION,2025-12-23,2025-12-23 10:30:00,3,1985.0
3.3440678194520688,0.0016720339097260344,0.009770396933701365,0.9745575635746548,66.67298135250853,57.817069045389005,-0.0003710225822252609,41.35987985824771,0.014505377679507433,-0.013072515300268492,-0.001996007984031936,0.0015022533800701052,0.0047726701833710125,0.0045203415369161224,0.3703426104138593,0.17942219847031096,-2.093258982153945,50,1,0.0,0.0,0.0,0.6705347115117517,92.9824561403509,40,0.5574774570654129,0.7777777777777778,-0.025442436425345143,0,5,1.495184987252818,0.2,0.5,0,-2.059999999999909,0.0,SELL,PM,SESSION,2025-12-23,2025-12-23 13:50:00,2,2000.0
2.9493227763874623,0.0014798408311025902,0.010301932751002043,0.9441844571833419,53.85950958123287,13.292342585133538,-0.0007359166498593953,36.91669711267707,0.008522856786690956,-0.010919571627643102,-0.0035,-0.0035,-0.0035,0.004030226700251889,0.46028337202622766,0.03390608881486891,-0.0,25,0,0.0,0.0,0.0,-0.2213553000573024,68.59649122807004,125,-0.007192200657680925,0.3333333333333333,-0.05581554281665808,0,1,-2.373426217042982,0.2,0.5,0,-5.38398416458127,5.0,SELL,AM,SL,2025-12-24,2025-12-24 09:25:00,3,1993.0
